Datum;Liga;Typ;Runde;Heim;Gast;Spielort_Name;Straße;PLZ;Ort;Latitude;Longitude;Quelle
2025-08-01 18:00:00;Regionalliga Ost;Männer;1. Runde;SR Donaufeld;SV Donau;Donaufeld;Nordmanngasse 24;1210;Wien;48.250543;16.418322;https://www.oefb.at/bewerbe/Spiel/3920300/?SR-Donaufeld-vs-SV-Donau
2025-08-02 20:00:00;ADMIRAL 2. Liga;Männer;1. Runde;Young Violets Austria Wien;SKN St. Pölten;GENERALI-Arena;Horrplatz 1;1100;Wien;48.1611885;16.3883313;https://www.oefb.at/bewerbe/Spiel/3886147/?Young-Violets-Austria-Wien-vs-SKN-St-Poelten
2025-08-03 17:00:00;ADMIRAL Bundesliga - Grunddurchgang;Männer;1. Runde;SK Rapid;FC Blau Weiss Linz;Allianz Stadion;Gerhard Hanappi Platz 1;1140;Wien;48.197339;16.265628;https://www.oefb.at/bewerbe/Spiel/3865866/?SK-Rapid-vs-FC-Blau-Weiss-Linz
2025-08-08 18:00:00;ADMIRAL 2. Liga;Männer;2. Runde;FAC Wien;KSV 1919;FAC-Platz;Hopfengasse 8;1210;Wien;48.269916;16.3925;https://www.oefb.at/bewerbe/Spiel/3886064/?FAC-Wien-vs-KSV-1919
2025-08-08 19:30:00;Regionalliga Ost;Männer;2. Runde;Wiener Sport-Club;Sportunion Mauer;Trainingszentrum Wr. Sportklub;Erdbrustgasse 4-18;1160;Wien;48.215234;16.303975;https://www.oefb.at/bewerbe/Spiel/3920382/?Wiener-Sport-Club-vs-Sportunion-Mauer
2025-08-08 19:30:00;Regionalliga Ost;Männer;2. Runde;TWL Elektra;FC Marchfeld Donauauen;Rax-Platz;Raxstr. 3;1100;Wien;48.165093;16.365973;https://www.oefb.at/bewerbe/Spiel/3920285/?TWL-Elektra-vs-FC-Marchfeld-Donauauen
2025-08-08 20:30:00;ADMIRAL 2. Liga;Männer;2. Runde;First Vienna FC 1894;SV Austria Salzburg;Naturarena Hohe Warte;Klabundgasse;1190;Wien;48.247428;16.359464;https://www.oefb.at/bewerbe/Spiel/3886102/?First-Vienna-FC-1894-vs-SV-Austria-Salzburg
2025-08-09 14:30:00;ADMIRAL 2. Liga;Männer;2. Runde;SK Rapid II;FC Liefering;Allianz Stadion;Gerhard Hanappi Platz 1;1140;Wien;48.197339;16.265628;https://www.oefb.at/bewerbe/Spiel/3885982/?SK-Rapid-II-vs-FC-Liefering
2025-08-09 17:00:00;Regionalliga Ost;Männer;2. Runde;SR Donaufeld;SV Klöcher Bau Oberwart;Donaufeld;Nordmanngasse 24;1210;Wien;48.250543;16.418322;https://www.oefb.at/bewerbe/Spiel/3920523/?SR-Donaufeld-vs-SV-Kloecher-Bau-Oberwart
2025-08-09 19:00:00;Regionalliga Ost;Männer;2. Runde;Wiener Viktoria;SV druckmittel.at Gloggnitz;Wr. Viktoria;Oswaldg. 34;1120;Wien;48.167696;16.324931;https://www.oefb.at/bewerbe/Spiel/3920423/?Wiener-Viktoria-vs-SV-druckmittel-at-Gloggnitz
2025-08-10 17:00:00;ADMIRAL Bundesliga - Grunddurchgang;Männer;2. Runde;FK Austria Wien;RZ Pellets WAC;GENERALI-Arena;Horrplatz 1;1100;Wien;48.1611885;16.3883313;https://www.oefb.at/bewerbe/Spiel/3865881/?FK-Austria-Wien-vs-RZ-Pellets-WAC
2025-08-14 18:00:00;2. Landesliga;Männer;1. Runde;Post SV;SC Mannswörth;Post Sportanlage;Roggendorfg. 2;1170;Wien;48.223531;16.32412;https://www.oefb.at/bewerbe/Spiel/3912870/?Post-SV-vs-SC-Mannswoerth
